Organization,Search Category 1,Search Category 2,Search Category 3,Search Category 4,Search Category 5,Search Category 6,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Service Class 1,Service Class 2,Service Class 3,Website URL,Address,Unit Number,Community,State,Zip Code,County,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Target Population 1,Target Population 2,Target Population 3,Age Range,Mission Statement,Additional Notes,Date Emailed,Date Called,Initials,,,,,,,,,,,,,,,,,,,
Safe Homes of Central Massachusetts / The Bridge,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Child/ Adolescent/ Young Adult Intermediate-Term Stabilization,Clubhouse,,http://www.safehomesma.org/,5 Mann Street,,Worcester,MA,01603,Worcester,508-755-0333,,safehomes@thebridgecm.org,,,LGBTQ youth,ally,,14-23,"Safe Homes is a program for gay, lesbian, bisexual, transgender, and questioning young people between the ages of 14 and 23. Led by youth and professional staff, as well as volunteer adult advisers. We offer support and resources in a safe and nurturing environment.",,,,,,,,,,,,,,,,,,,,,,,
Safe Passage,Community Group,Domestic and Sexual Violence Services,,,,,Para-professional support services,,,,,Individual advocacy services,,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.safepass.org,43 Center Street,Suite 304,Northampton,MA,01060,Hampshire,413-586-1125 (office); 413-586-5066 (hotline),,info@safepass.org,"Marianne Winters, Executive Director
413-586-1125 ext 20
marianne@safepass.org
(April 24 at 10 am)",,LGBTQ youth,,,,"Safe Passage is committed to ending domestic violence and oppression in women's lives. All Safe Passage programs are free, accessible and confidential. Our comprehensive services include shelter, peer-support, counseling, education, advocacy, legal support and community education.",,,,,,,,,,,,,,,,,,,,,,,
Salem Family Health Center (Health Quarters),Health and Mental Health,Sexual Health,Screening and Testing,Primary Care Services,Screening and Testing,,Health Care,Diagnostics,,,,Primary Care Services,Other Health Care Provider Services  ,Medical Screening and Testing,,,,,,,,http://www.healthq.org/,47 Congress Street,,Salem,MA,01970,Essex,(978) 744-8388,,info@healthq.org,,,LGBTQ youth,,,,"Welcome to Health Quarters, a provider of confidential reproductive healthcare, prevention, and education services for women, men, and teens on the North Shore and Merrimack Valley of Massachusetts.  Our friendly, approachable, bi-lingual providers are knowledgeable and focused on delivering the highest level of health and counseling services using the most modern procedures and services. :",,4/10/2014,,AD,,,,,,,,,,,,,,,,,,,
Samaritan's,Government Entity,Hotline Services,,,,,Awareness,,,,,Hotline services,,,,,,,Helpline,,,http://samaritanshope.org/,41 West St,4th Floor,Boston,MA,02111,Suffolk,617.536.2460 ,,,,,LGBTQ youth,,,,"Samaritans’ mission is to reduce the incidence of suicide by alleviating despair, isolation, distress and suicidal feelings among individuals in our community, 24 hours a day; to educate the public about suicide prevention; and to reduce the stigma associated with suicide. We accomplish this through services that emphasize confidential, non-judgmental, and compassionate listening.",,,,,,,,,,,,,,,,,,,,,,,
School Street Counseling Institute,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Health Care,Behavioral Health Services,,,,Psychiatric Services,Behavioral Counseling,Clinical counseling,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://bhninc.org/content/school-street-counseling,110 Maple Street,,Springfield,MA,01105,Hampden,413-846-4300,,,,,LGBTQ youth,,,,"SSCI provides outpatient psychotherapeutic clinical services to children, families, and adults.  We serve clients with a wide variety of mental health and substance abuse problems.  Our staff includes professional psychologists, social workers, school counselors and psychiatrists.  SSCI offers linguistically and culturally competent services, as our staff offers services in Spanish, Russian, Polish, and Hebrew.",,,,,,,,,,,,,,,,,,,,,,,
Sharon Wretzel,Health and Mental Health,Primary Care  Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,Individual Primary Care Wellness,,,http://baystatehealth.com/Baystate/Main+Nav/ch.Find+a+Doctor.Print,11 Wilbraham Road,Mason Sqaure Neighbourhood Health,Springfield,MA,01109,Hampden,413-794-3710,,,,,LGBTQ youth,,,,,NO WEBSITE SPECIFIC TO THIS PROVIDER,,,,,,,,,,,,,,,,,,,,,,
Sidney Borum Jr Health Center,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Substance Abuse Services,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Services,Other Health Care Providers Series,Medical Screening and Testing,Clinical Screening and Testing,Clinical Counseling,Behavioral Counseling, Substance Abuse Services,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://sidneyborum.org/,75 Kneeland Street,,Boston,MA,02111,Suffolk,(617) 457-8140,,mailto:%20information@fenwayhealth.org,,,LGBTQ youth,transgender youth,individuals infected/affected by HIV/AIDS,12-29,"At the Borum, we offer quality, open care to young adults ages 12–29 who need a health center that really gets them.",,,,,,,,,,,,,,,,,,,,,,,
Somerville Office of the LGBT Liaison,Government Entity,Community Group,Awareness and Advocacy,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,Case Management,,,http://www.ci.somerville.ma.us/departments/health/somerville-commissions/lgbt,50 Evergreen Avenue,,Somerville,MA,02145,Middlesex,617-625-6600 ext. 2400,,mailto:lgbtissues@somervillema.gov,,,LGBTQ youth,ally,family,,"The LGBT Liaison for the City of Somerville acts as the emissary between the Mayor’s Office and the lesbian, gay, bisexual and transgender communities of Somerville. The Office provides information, referral services, guidance, coordination, and technical assistance to the City and its residents on initiatives intended to serve the LGBT community. ",,,,,,,,,,,,,,,,,,,,,,,
Southcoast Diversity Alliance,Community Group,Faith Based Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,,LGBTQ youth,,,,,New Bedford,MA,02742,Bristol,(508) 996-3147,,,Clubhouse,,,,,,,NO WEBSITE SPECIFIC TO THIS ORG,,,,,,,,,,,,,,,,,,,,,,
Southern Jamaica Plain Health Centers,Health and Mental Health,Primary Care  Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.brighamandwomens.org/Departments_and_Services/medicine/services/primarycare/sjphc/default.aspx,640 Centre Street,,Jamaica Plain,MA,02130,Suffolk,617-983-4100,,,,,LGBTQ youth,,,,Southern Jamaica Plain Health Center is a community health center licensed by Brigham and Women's Hospital.,,,,,,,,,,,,,,,,,,,,,,,
Spontaneous Celebrations,Community Group,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.spontaneouscelebrations.org/,45 Danforth Street,,Jamaica Plain,MA,02130,Suffolk,617-524-6373,,mailto:admin@spontaneouscelebrations.org,"George Lee, Youth Programs",mailto:george@spontaneouscelebrations.org,LGBTQ youth,,,,"Spontaneous Celebrations is Jamaica Plain's community arts headquarters, serving JP and Roxbury for over 30 years.",,,,,,,,,,,,,,,,,,,,,,,
SSHAGLY (South Shore Alliance of Gay and Lesbian Youth),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,,LGBTQ youth,,https://www.facebook.com/sshagly.southshore,24 River Street,,Norwell,MA,02061,Plymouth,781-312-8073,,Sshagly@gmail.com,Clubhouse,,,,,,SSHAGLY is a youth-led adult supported social support organization committed to create a safe haven where everyone feels welcome. 14 Years of age to 22 Years of age for the GLBT youth community.,,,,,,,,,,,,,,,,,,,,,,,
St. John's Episcopal Church,Community Group,Faith Based Organization,,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.stjohnsnorthampton.org,48 Elm Street,,Northampton,MA,01060,Hampshire,(413) 584-1757,,stjohnsnorthampton@verizon.net,,,LGBTQ youth,,,,We are a community of Christ at edge of the Smith College campus. ,Runs Alcholics Anonymous support group,,,,,,,,,,,,,,,,,,,,,,
"Stephanie Billings, Holyoke Health Center",Health and Mental Health,Primary Care  Services,,,,,Health Care,,,,,Primary Care Services,,,,,,,Individual Primary Care Wellness,,,http://www.hhcinc.org/,230 Maple St,,Holyoke,MA,01040,Hampden,413-420-2200 x2272,Stephanie Billings,,,,LGBTQ youth,,,,"Our mission at the Holyoke Health Center is to “Improve the health of our patients through affordable, quality health care and comprehensive community-based programs to create a healthy community.""",,,,,,,,,,,,,,,,,,,,,,,
Suffolk University Rainbow Alliance,Higher Education Organization,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,https://suffolk.collegiatelink.net/organization/rainbowalliance, 20 Derne Street,,Boston,MA,02114,Suffolk,(617) 573-8327,,surainbow.alliance@gmail.com,,,LGBTQ youth,,,college student,Rainbow Alliance is Suffolk's LGBT group on campus. It is both for members and allies of the LGBT community. We have weekly meetings along with many events per month. All are welcome at any time.,,,,,,,,,,,,,,,,,,,,,,,
SWAGLY (Supporters of Worcester Gay and Lesbian Youth),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.aidsprojectworcester.org/,51 Union Street,,Worcester,MA,01608,Worcester,"(508)755-3773, ext 36",Luis Cantres,mailto:swagly@aidsprojectworcester.org,,,LGBTQ youth,,,,"SWAGLY (Supporters of Worcester Area Gay Lesbian Bisexual Transgender Youth) is one of the oldest/longest running GLBT youth support organizations in Massachusetts. A youth-led, adult-supported, drop-in group, SWAGLY provides emotional and social support for GLBT youth in Worcester County. ",,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,306 Race Street,,Holyoke,MA,01040,Hampden,(413) 536-8777,,,,,LGBTQ youth,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,1985 Main Street,,Springfield,MA,01103,Hampden,(413) 733-6639,,,,,LGBTQ youth,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,2012
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,130 Maple Street,Lower Level,Springfield,MA,01103,Hampden,(413) 363-9472,,,,,LGBTQ youth,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,80 Sanderson Street,,Greenfield,MA,01301,Franklin,(413) 773-8888,,,,,"all, with specializations in both youth and LGBTQ folks",,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,777 South Main Street,,Great Barrington,MA,01230,Berkshire,(413) 528-4238,,,,,LGBTQ youth,individuals infected or affected by HIV/AIDS,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,77 Hospital Avenue,Suite 210,North Adams,MA,01247,Berkshire,(413) 664-5659,,,,,LGBTQ youth,individuals infected or affected by HIV/AIDS,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,100 Wendell Avenue,,Pittsfield,MA,01201,Berkshire,(413) 443-2844,,,,,LGBTQ youth,individuals infected or affected by HIV/AIDS,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,296 Nonotuck Street,,Florence,MA,01062,Hampshire,(413) 586-2016,,,,,LGBTQ youth,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,27 Pray Street,,Amherst,MA,01002,Hampshire,(413) 548-9992,,,,,LGBTQ youth,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/,16 Center Street,Suite 415,Northampton,MA,01060,Hampshire,(413) 586-2539,,,,,LGBTQ youth,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health Needle Exchange,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/index.php/services/prevention/needle-exchange,16 Center Street,Suite 423,Northampton,MA,01060,Hampshire,(413) 586-0310,,,,,LGBTQ youth,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health Needle Exchange,Health and Mental Health,Primary Care  Services,"Counseling, Therapy, Psychological and Psychiatric Services",Screening and Testing,Sexual Health,,Health Care, Behavioral Health Services,Diagnostics,,,Primary Care Servicesnull,Other Health Care Provider Services ,Clinical Counseling,Medical Screening and Testing,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,http://www.tapestryhealth.org/index.php/services/prevention/needle-exchange,15A Main Street,,Holyoke,MA,01040,Hampden,(413) 363-9472,,,,,LGBTQ youth,,,,Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.,,,,,,,,,,,,,,,,,,,,,,,
Teen Empowerment,Community Group,Awareness and Advocacy,"Education, Training and Employment",,,,Awareness,Employment,,,,"Community Outreach, Education, and Engagement",Job Development and Placement,,,,,,Clubhouse,,,http://www.teenempowerment.org/,21 Balfour Street,,Dorcester,MA,02125,Suffolk,617-427-1488,,mailto:samantha@teenempowerment.org,,,LGBTQ youth,,,14-21,"The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.",,,,,,,,,,,,,,,,,,,,,,,
Teen Empowerment,Community Group,Awareness and Advocacy,"Education, Training and Employment",,,,Awareness,Employment,,,,"Community Outreach, Education, and Engagement",Job Development and Placement,,,,,,Clubhouse,,,http://www.teenempowerment.org/,384 Warren Street,,Roxbury,MA,02119,Suffolk,617-442-4684,,doug@teenempowerment.org,,,LGBTQ youth,,,14-21,"The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.",,,,,,,,,,,,,,,,,,,,,,,
Teen Empowerment,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.teenempowerment.org/,165 Broadway,,Somerville,MA,02145,Middlesex,617-625-6600 ext. 2256,,danny@teenempowerment.org,,,LGBTQ youth,,,14-21,"The mission of the Center for Teen Empowerment is to empower youth and adults as agents of individual, institutional, and social change.",,,,,,,,,,,,,,,,,,,,,,,
The Center for Women and Community,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",Case Management,,,,Para-professional support services,,,,,Case management,"Para-professional Counseling, Therapy, and Support",,,,,,Child/ Adolescent/ Young Adult Intermediate-Term Stabilization,,,http://www.umass.edu/ewc,180 Infirmary Way,New Africa House,Amherst,MA,01003,Hampshire,413-545-0883,,ewcmail@admin.umass.edu,,,LGBTQ youth,,,,"We provide innovative and informed education, leadership opportunities, advocacy, and support services, that address the cause and impact of sexism and recognize the multiple oppressions experienced by women. We offer services to people of all genders within the diverse communities of Hampshire County, the Five Colleges and the University of Massachusetts Amherst.",,,,,,,,,,,,,,,,,,,,,,,
The GLBT Youth Support Project and OutHealth!,"Education, Training and Employment",Cultural Competency Training ,,,,,Training and Educational Activities,,,,,Other Training and Education,,,,,,,,LGBTQ youth,Family,http://www.hcsm.org/glys/home,942 West Chestnut St.,,Brockton,MA,02301,Plymouth,800.530.2770 ext. 229,Missy Sturtevant,msturtevant@healthimperatives.org,"Community Prevention, Education and Outreach",,Ally,,,,"To ensure safe and supportive communities for gay, lesbian, bisexual, transgender and questioning (GLBTQ) youth, adults, and their families.",,,,,,,,,,,,,,,,,,,,,,,
The GLUB Club,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,,,,Monterey,MA,01245,Berkshire,(413) 499-2425,,,,,LGBTQ youth,,,,,NO WEBSITE SPECIFIC TO THIS ORG,,,,,,,,,,,,,,,,,,,,,,
The Network La Red,Community Group,Cultural Competency Training ,Domestic and Sexual Violence Services,Hotline Services,,,Para-professional support services,Awareness,,,,"Community Outreach, Education, and Engagement",Hotline Services,Case Management,,,,"Child/ Adolescent/ Young Adult Short-Term Stabilization, Emergency Placement",,,http://tnlr.org/,http://tnlr.org/,,Boston,MA,02114,Suffolk,resources,,,,,LGBTQ youth,,,,,"The Network/La Red is a survivor-led, social justice organization that works to end partner abuse in lesbian, gay, bisexual, transgender, BDSM, polyamorous, and queer communities. Rooted in anti-oppression principles, our work aims to create a world where all people are free from oppression. We strengthen our communities through organizing, education, and the provision of support services.",,,,,,,,,,,,,,,,,,,,,,,
The Stonewall Center,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",Higher Education Organization,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.umass.edu/stonewall/,256 Sunset Ave,Crampton Hall,Amherst,MA,01003,Hampshire,(413) 545-4824,,stonewall@stuaf.umass.edu,,,LGBTQ youth,,,,"The Stonewall Center provides support, advocacy, and programming for LGBTQ and allied students, staff, and faculty at UMass Amherst and for the larger Pioneer Valley.",,,,,,,,,,,,,,,,,,,,,,,
The Sunshine Club,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,clubhouse,,,,,,Hadley,MA,01035,Hampshire,413-586-5004,,rsteel@att.net,,,LGBTQ youth,transgender youth,,,Support group for MTF transgender individuals that meets monthly in Hadley.,,,,,,,,,,,,,,,,,,,,,,,
The Theater Offensive,Community Group,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,Clubhouse,,,http://www.thetheateroffensive.org,565 Boylston Street,3rd Floor,Boston,MA,02116,Suffolk,617.661.1600,,info@thetheateroffensive.org,Director of Programs Evelyn Francis,mailto:evelyn@thetheateroffensive.org,LGBTQ youth,,,,"The Theater Offensive’s mission is to form and present the diverse realities of queer lives in art so bold it breaks through personal isolation and political orthodoxy to help build an honest, progressive community.",,,,,,,,,,,,,,,,,,,,,,,
TIFFANY Club of New England,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,,,,http://tcne.org/,30 Guinan St,,Waltham,MA,02451,Middlesex,781-891-9325,,info@tcne.org,,,LGBTQ youth,transgender youth,,,"TCNE is registered as a non-profit corporation in the state of Massachusetts with offices in Waltham, Massachusetts.  TCNE’s primary mission is that of being a social and support club for transgender peoples in the New England region.",,,,,,,,,,,,,,,,,,,,,,,
TransCEND,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education and Outreach",,,http://transcendboston.org/en/about,75 Amory Street,,Jamaica Plain,MA,02119,Suffolk,617.450.1016,,mailto:transcend@aac.org,,,LGBTQ youth,transgender youth,individuals infected/affected by HIV/AIDS,,"TransCEND (Transgender Care and Education Needs Diversity) provides support and risk reduction services to transgender women (male to female). The program offers member support, assistance with accessing basic services, medical care, support groups, educational groups, risk reduction materials, and individual case management.",,,,,,,,,,,,,,,,,,,,,,,
Transformation Center,"Education, Training and Employment ","Counseling, Therapy, Psychological and Psychiatric Services",Awareness and Advocacy,,,,Awareness, Para-professional Support Services,Training and Educational Activities,,,"Community Outreach, Education, and Engagement
","Group Para-professional Counseling, Therapy and Support",Other Training and Education,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://transformation-center.org/,98 Maganzine Street,#2,Roxbury,MA,02119,Suffolk,617-442-4111,Scott Francis,scottf@transformation-center.org,,,LGBTQ youth,,,18+,"The Transformation Center is a peer-operated center with a mental health focus on wellness and life recovery through dialogue, education, systems change advocacy, and peer support.",,,,,,,,,,,,,,,,,,,,,,,
TransParent,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education, and Outreach",,,,,,Holyoke,MA,01040,Hampden,413-695-7686,Nancy,pvtransparents1@gmail.com,,,LGBTQ youth,parent,transgender youth,,We are a support group for parents of transgender or gender non-conforming children and young adults. Our goal is to help support parents so that they can support their children.,,,,,,,,,,,,,,,,,,,,,,,
"TREE (Transgender Rights, Education and Empowerment): Community Action Youth Programs",Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Center-Based Basic Living and Personal Care Supports,Training and Skills Development,Clubhouse,http://www.communityaction.us/our-groups-programs.html,154 Federal Street,,Greenfield,MA,01301,Franklin,413-774-7028,SAME PHONE,TREE@communityaction.us,,,LGBTQ youth,transgender youth,,"[12,21]","TREE (Trans Rights, Education, and Empowerment) provides additional education and support to trans and gender non-conforming youth during Generation Q meetings. Generation Q and TREE participants experience a safe and supportive space while developing their skills, identity, and knowledge base and becoming leaders in their community. Stipends are available for Peer Leaders.",,,,,,,,,,,,,,,,,,,,,,,
"TREE (Transgender Rights, Education and Empowerment): Community Action Youth Programs",Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Center-Based Basic Living and Personal Care Supports,Training and Skills Development,Clubhouse,http://www.communityaction.us/our-groups-programs.html,2 Conz Street,Maplewood Shops #34,Northampton,MA,01060,Franklin,413-774-7028,,TREE@communityaction.us,,,LGBTQ youth,transgender youth,,"[12, 21]","TREE (Trans Rights, Education, and Empowerment) provides additional education and support to trans and gender non-conforming youth during Generation Q meetings. Generation Q and TREE participants experience a safe and supportive space while developing their skills, identity, and knowledge base and becoming leaders in their community. Stipends are available for Peer Leaders.",,,,,,,,,,,,,,,,,,,,,,,
"TREE (Transgender Rights, Education and Empowerment): Community Action Youth Programs",Placement Services and Supports,,,,,,Placement Services,,,,,Placement Services and Supports,,,,,,,Center-Based Basic Living and Personal Care Supports,Training and Skills Development,Clubhouse,http://www.communityaction.us/our-groups-programs.html,2 Conz Street,Maplewood Shops #34,Northampton,MA,01060,Hampshire,413-774-7028,,TREE@communityaction.us,,,LGBTQ youth,transgender youth,,12 - 21,"TREE (Transgender Rights, Education and Empowerment) provides  peer support, advocacy, education, and leadership development opportunities for trans identified and gender non-conforming youth.",,,,,,,,,,,,,,,,,,,,,,,
Treehouse Foundation,Placement Services and Supports,Housing and Shelter Services,,,,,Placement Services,,,,,Placement Services and Supports,,,,,,,Placement Services and Supports,,,http://refca.net/home-page,One Treehouse Circle,,Easthampton,MA,01027,Hampshire,413-527-7966,,,,,LGBTQ youth,,,,"The Treehouse Foundation promotes public investment in our most vulnerable children. We seek to inspire, implement and support innovative child welfare practices to ensure children who have experienced foster care find lifelong family relationships in supportive communities, which enable them to lead fulfilling and productive lives. Services include HEROES Youth Leadership program.",,,,,,,,,,,,,,,,,,,,,,,
True Colors,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,https://www.mtholyoke.edu/org/colors/,5 Faculty Lane,Jeanette Marks House,South Hadley,MA,01075,Hampshire,,,owner-true-colors-l@mtholyoke.edu,,,LGBTQ youth,,,college,"A student organization for organizing and providing support, activism, outreach, and social functions for the lesbian, gay, bisexual, transgender*, queer, questioning, and straight ally population for the Mt. Holyoke community.",,,,,,,,,,,,,,,,,,,,,,,
