Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
Cambridge Health Alliance - Broadway Health Center	Physical Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services	Dental Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Psychiatric Services	Dental Services	Other Health Care Provider Services 	Clinical Counseling	Behavioral Counseling	Medical Screening and Testing	Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	300 Broadway		Somerville	MA	02145	Middlesex	(617) 665-1606	THESE ALL HAVE THE SAME PHONE NUMBER, WE MAY WANT TO DO THEM SIMULTANEOUSLY				LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Cambridge Family Health	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	237 Hampshire Street		Cambridge	MA	02139	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Cambridge Family Health North	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	2067 Massachusetts Avenue		Cambridge	MA	02140	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Cambridge Pediatrics	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	1493 Cambridge Street		Cambridge	MA	02139	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Cambridge Primary Care Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	1493 Cambridge Street		Cambridge	MA	02139	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Cambridge Teen Health Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	459 Broadway		Cambridge	MA	02138	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Central Street Health Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	26 Central St		Somerville	MA	02143	Middlesex	(617) 591-6033					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				We offer mental health and counseling services for children and adolescents.
Cambridge Health Alliance - East Cambridge Health Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	163 Gore Street		Cambridge	MA	02141	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Everett Family Health Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	391 Broadway	Suite 204	Cambridge	MA	02149	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Everett Teen Health Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	100 Elm Street		Everett	MA	02149	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Malden Family Medicine Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	195 Canal Street		Malden	MA	02148	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Revere Family Health Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	454 Broadway		Revere	MA	02151	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Somerville Hospital Primary Care	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	236 Highland Street		Somerville	MA	02143	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
Cambridge Health Alliance - Somerville Teen Connection	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.challiance.org/Main/Home.aspx	81 Highland Avenue		Somerville	MA	02143	Middlesex	(617) 665-1606					LGBTQ					CHA provides a wide range of services with a focus on wellness and prevention. In addition to its strong primary care network, it offers nationally-renowned behavioral health services, specialty care, innovative planned care programs for chronic disease, women’s health and maternity, inpatient care, and a three-site emergency department with 100,000 annual visits.				
